NSProduto,NSJiga,Etapa,Pt100,DataHora
20002378,19130590,Validacao,Fail,2020-07-30 14:25:31
20003727,19130590,Validacao,Ok,2020-07-30 14:05:14
20001914,19130589,Validacao,Ok,2020-07-30 18:29:58
20006325,19130586,Validacao,Ok,2020-07-30 17:55:29
20003753,19130588,Calibracao,Fail,2020-07-30 19:18:46
20000341,19130589,Validacao,Fail,2020-07-30 07:15:34
20009412,19130586,Calibracao,Ok,2020-07-30 10:11:54
20007316,19130587,Calibracao,Fail,2020-07-30 01:15:39
20008194,19130589,Calibracao,Ok,2020-07-30 03:01:18
20002869,19130588,Calibracao,Ok,2020-07-30 05:24:15
20001058,19130587,Validacao,Fail,2020-07-30 07:06:39
20009271,19130586,Validacao,Ok,2020-07-30 07:36:13
20001138,19130586,Validacao,Ok,2020-07-30 05:11:20
20000796,19130589,Calibracao,Ok,2020-07-30 04:02:55
20002806,19130588,Calibracao,Ok,2020-07-30 06:35:17
20007446,19130588,Calibracao,Fail,2020-07-30 13:48:50
20009905,19130590,Calibracao,Fail,2020-07-30 10:50:26
20001244,19130588,Validacao,Ok,2020-07-30 16:43:50
20009443,19130590,Calibracao,Fail,2020-07-30 04:17:18
20007880,19130590,Calibracao,Fail,2020-07-30 01:15:10
20000083,19130589,Calibracao,Fail,2020-07-30 04:57:30
20003480,19130590,Calibracao,Fail,2020-07-30 14:15:17
20003605,19130587,Calibracao,Ok,2020-07-30 00:57:34
20003766,19130586,Calibracao,Ok,2020-07-30 06:02:03
20008704,19130586,Validacao,Fail,2020-07-30 16:39:49
20005834,19130586,Calibracao,Ok,2020-07-30 21:08:06
20003209,19130590,Calibracao,Fail,2020-07-30 14:11:44
20004464,19130590,Validacao,Ok,2020-07-30 06:19:57
20006097,19130590,Calibracao,Ok,2020-07-30 07:57:15
20002023,19130588,Calibracao,Fail,2020-07-30 03:06:08
20009021,19130586,Validacao,Ok,2020-07-30 18:21:56
20003928,19130586,Calibracao,Ok,2020-07-30 12:16:50
20002332,19130590,Calibracao,Ok,2020-07-30 07:42:36
20002241,19130590,Validacao,Ok,2020-07-30 23:33:38
20007401,19130586,Validacao,Fail,2020-07-30 22:27:14
20004251,19130590,Calibracao,Ok,2020-07-30 02:34:53
20007704,19130587,Validacao,Ok,2020-07-30 05:10:27
20001629,19130586,Calibracao,Fail,2020-07-30 17:39:58
20002784,19130587,Calibracao,Ok,2020-07-30 06:34:11
20002602,19130589,Validacao,Ok,2020-07-30 02:18:42
20003049,19130587,Validacao,Fail,2020-07-30 08:52:44
20009652,19130589,Validacao,Ok,2020-07-30 18:01:38
20004136,19130586,Calibracao,Fail,2020-07-30 04:46:19
20009876,19130586,Calibracao,Fail,2020-07-30 05:37:16
20003400,19130586,Calibracao,Ok,2020-07-30 05:53:00
20000740,19130586,Validacao,Ok,2020-07-30 19:38:16
20007269,19130586,Calibracao,Ok,2020-07-30 08:47:20
20009161,19130587,Calibracao,Fail,2020-07-30 21:50:08
20005280,19130588,Calibracao,Fail,2020-07-30 01:49:52
20003961,19130589,Validacao,Fail,2020-07-30 11:53:44
20008913,19130586,Calibracao,Fail,2020-07-30 04:27:02
20003814,19130588,Validacao,Ok,2020-07-30 03:17:32
20009820,19130590,Validacao,Ok,2020-07-30 20:58:00
20001859,19130590,Validacao,Fail,2020-07-30 19:37:40
20002890,19130588,Validacao,Ok,2020-07-30 11:08:15
20007496,19130586,Calibracao,Fail,2020-07-30 00:03:57
20009673,19130590,Calibracao,Fail,2020-07-30 01:33:53
20009177,19130590,Calibracao,Ok,2020-07-30 15:28:41
20001769,19130589,Calibracao,Ok,2020-07-30 00:59:49
20007472,19130587,Calibracao,Ok,2020-07-30 15:48:19
20003540,19130587,Calibracao,Fail,2020-07-30 04:19:07
20004076,19130589,Validacao,Fail,2020-07-30 21:42:21
20001553,19130590,Calibracao,Fail,2020-07-30 06:40:42
20002909,19130590,Validacao,Ok,2020-07-30 00:12:13
20000396,19130588,Validacao,Ok,2020-07-30 01:02:50
20005206,19130590,Validacao,Fail,2020-07-30 01:54:40
20001813,19130587,Validacao,Fail,2020-07-30 02:41:32
20003969,19130590,Calibracao,Fail,2020-07-30 08:22:22
20003443,19130588,Calibracao,Fail,2020-07-30 08:58:07
20007155,19130588,Validacao,Fail,2020-07-30 06:39:13
20006066,19130589,Validacao,Fail,2020-07-30 22:13:23
20000647,19130588,Calibracao,Ok,2020-07-30 22:07:55
20007320,19130587,Validacao,Fail,2020-07-30 17:36:25
20003962,19130589,Calibracao,Ok,2020-07-30 11:06:58
20004104,19130589,Validacao,Fail,2020-07-30 02:42:29
20003502,19130589,Validacao,Fail,2020-07-30 13:57:13
20003508,19130589,Calibracao,Ok,2020-07-30 09:26:49
20006529,19130586,Calibracao,Ok,2020-07-30 23:42:42
20002276,19130589,Calibracao,Ok,2020-07-30 00:04:52
20004914,19130590,Calibracao,Fail,2020-07-30 12:04:59
20002884,19130589,Calibracao,Fail,2020-07-30 06:01:43
20006140,19130587,Calibracao,Ok,2020-07-30 13:17:36
20005723,19130588,Calibracao,Ok,2020-07-30 05:37:23
20007473,19130590,Validacao,Ok,2020-07-30 18:48:30
20000235,19130587,Calibracao,Fail,2020-07-30 04:13:07
20005594,19130590,Validacao,Fail,2020-07-30 07:32:42
20009563,19130587,Calibracao,Fail,2020-07-30 22:45:50
20001288,19130590,Calibracao,Fail,2020-07-30 03:51:34
20007535,19130586,Validacao,Fail,2020-07-30 11:44:47
20006605,19130587,Calibracao,Ok,2020-07-30 16:15:39
